,Unnamed: 0,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,tsne1,tsne2,tsne3,tsne_clusters
11,11,1000144007,PROFESSIONAL ELEVATOR SERVICES,CHICAGO,IL,60605,BANK OF AMERICA NATL ASSOC,OR,235950,28-Feb-97,1997,60,24,1.0,0,0,1,0,N,N,,30-Nov-97,150000.0,0.0,P I F,0.0,300000.0,225000.0,1.229626,-3.756995,10.090535,1
12,12,1000146010,CARVEL,APEX,NC,27502,STEARNS BK NATL ASSOC,MN,445299,7-Feb-06,2006,162,2,2.0,0,0,15100,1,N,N,,31-Mar-06,253400.0,0.0,P I F,0.0,253400.0,190050.0,-6.0266986,-1.405228,-6.868527,0
13,13,1000154010,"ORCHARD CAFE & BAKERY, INC.",SLATERSVILLE,RI,2876,CITIZENS BANK NATL ASSOC,RI,0,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,N,,31-May-97,370000.0,0.0,P I F,0.0,370000.0,277500.0,-10.629144,-6.750648,-1.8426915,4
14,14,1000214004,EBC INVESTMENTS LLC,WINSTON-SALEM,NC,27106,NORTHWEST PIEDMONT DEVEL CORPO,NC,0,28-Feb-97,1997,240,1,1.0,30,0,1,0,N,N,,17-Dec-97,225000.0,0.0,P I F,0.0,225000.0,225000.0,3.3434958,-9.348955,-3.599679,3
15,15,1000244002,"ENVIRONMENTAL ROOFING SYSTEMS,",OKLAHOMA CITY,OK,73112,BANK OF AMERICA NATL ASSOC,NC,421330,28-Feb-97,1997,12,5,2.0,0,0,1,0,N,N,,30-Sep-97,350000.0,0.0,P I F,0.0,350000.0,262500.0,-15.807716,0.22268467,-0.16419163,4
16,16,1000254005,ARK MAMAGEMENT ENTERPRISES INC,MIDLAND,TX,79701,WELLS FARGO BANK NATL ASSOC,TX,0,28-Feb-97,1997,60,5,1.0,0,0,1,0,N,Y,,30-Jun-97,70000.0,0.0,P I F,0.0,70000.0,56000.0,0.8304873,-0.18135576,11.1025,1
17,17,1000264008,"FAIRFAX COURT SUBWAY, INC.",CENTREVILLE,VA,20120,BANK OF AMERICA NATL ASSOC,MD,0,28-Feb-97,1997,60,16,1.0,0,0,1,0,N,Y,,31-Jul-97,100000.0,0.0,P I F,0.0,100000.0,80000.0,1.2540008,-2.4835596,15.49165,1
18,18,1000284003,FANTASTIC SAMS,PLANO,TX,75093,NEWTEK SMALL BUS. FINANCE INC.,NY,0,28-Feb-97,1997,84,12,2.0,0,0,19755,0,N,Y,,31-May-97,57500.0,0.0,P I F,0.0,57500.0,46000.0,-16.843994,-2.9650576,-2.5598116,4
19,19,1000294006,SIR GOONY'S GOLF,KNOXVILLE,TN,37922,CITIZENS NATIONAL BANK,TN,0,28-Feb-97,1997,120,4,2.0,0,0,1,0,N,Y,,31-May-98,50000.0,0.0,P I F,0.0,50000.0,40000.0,-14.686139,-4.5458045,-2.6550572,4
20,20,1000324002,ECONOLODGE OF DUMAS,DUMAS,TX,79029,"BUSINESS LOAN CENTER, LLC",SC,0,28-Feb-97,1997,300,12,2.0,0,0,1,0,N,N,,30-Apr-97,615000.0,0.0,P I F,0.0,615000.0,461250.0,-5.915419,-6.361286,0.7451346,3
21,21,1000344008,"YOUNG ACHIEVERS PRESCHOOL, INC",CORAL SPRINGS,FL,33065,BANESCO USA,FL,624410,28-Feb-97,1997,87,2,1.0,0,0,1,0,N,N,,31-Aug-97,70000.0,0.0,P I F,0.0,70000.0,56000.0,-0.10330688,4.3718944,15.231676,1
22,22,1000394001,NICOLES RESTAURANT,JOHNSTON,RI,2919,BANK OF AMERICA NATL ASSOC,RI,0,28-Feb-97,1997,114,6,1.0,0,0,1,0,N,N,,31-Mar-98,75000.0,0.0,P I F,0.0,75000.0,56250.0,1.6860015,-4.284022,14.328944,1
23,23,1000434000,"TRIANGLE MACHINE & MFG., INC.",EULESS,TX,76040,"FIRST BANK TEXAS, SSB",TX,0,28-Feb-97,1997,144,90,1.0,0,0,1,0,N,N,,30-Apr-97,1250000.0,0.0,P I F,0.0,1250000.0,937500.0,-0.7768432,-8.587655,3.507832,3
24,24,1000446006,SUBWAY,LITTLE ROCK,AR,72223,HOPE FCU,MS,722211,7-Feb-06,2006,126,7,1.0,0,0,1,1,N,N,,30-Apr-06,137300.0,0.0,P I F,0.0,137300.0,116705.0,5.578995,7.0078354,-3.3365915,2
25,25,1000474001,DEE'S CORNER BAIT & TACKLE,SAINT PETER,MN,56082,WELLS FARGO BANK NATL ASSOC,MN,451110,28-Feb-97,1997,60,2,1.0,0,0,1,0,N,N,,30-Apr-97,39500.0,0.0,P I F,0.0,39500.0,29625.0,-0.32520154,3.854748,13.794644,1
26,26,1000484004,"C & S TRANSIT, INC.",INDEPENDENCE,MO,64055,BANK OF AMERICA NATL ASSOC,NC,0,28-Feb-97,1997,60,2,2.0,0,0,1,0,0,N,,31-May-98,50000.0,0.0,P I F,0.0,50000.0,25000.0,-15.5969925,-3.682578,-1.8038561,4
27,27,1000504008,HUNTERSBROOK STABLE,MARSHFIELD,MA,2050,ROCKLAND TRUST COMPANY,MA,0,28-Feb-97,1997,240,3,1.0,0,0,1,0,N,Y,,31-Jul-97,75000.0,0.0,P I F,0.0,75000.0,60000.0,-0.2689059,-3.964653,5.8926764,3
28,28,1000506000,WEYLAND CORPORATION,CAMARILLO,CA,93010,WELLS FARGO BANK NATL ASSOC,SD,611110,7-Feb-06,2006,83,18,2.0,5,23,1,1,Y,N,,28-Feb-06,438541.0,0.0,P I F,0.0,100000.0,50000.0,4.8436975,-5.068944,-7.32227,3
29,29,1000514000,"SCROOGE'S SPIRIT, INC.",ANDERSON,SC,29621,CERTIFIED DEVEL CORP OF SO. CA,SC,445310,28-Feb-97,1997,240,1,2.0,5,0,1,0,N,N,,14-Jan-98,291000.0,0.0,P I F,0.0,291000.0,291000.0,-7.0317054,-3.6945543,-0.06857937,4
30,30,1000516003,CHICAGO BRICK UNLIMITED INC,MIAMI,FL,33186,"CITIBANK, N.A.",FL,238140,7-Feb-06,2006,84,4,1.0,0,4,1,1,Y,N,,28-Feb-06,51440.0,0.0,P I F,0.0,35000.0,17500.0,4.494118,7.2662086,-1.672955,2
31,31,1000524003,AUDELIA FAMILY DENTAL GROUP,DALLAS,TX,75243,THE FROST NATIONAL BANK,TX,621210,28-Feb-97,1997,102,12,1.0,0,0,1,0,N,N,,31-Jul-97,600000.0,0.0,P I F,0.0,600000.0,450000.0,0.39041677,-9.282861,3.214258,3
32,32,1000526006,"RZI, INC.",NEW ORLEANS,LA,70130,BUSINESS RES. CAP. SPECIALTY B,LA,532490,7-Feb-06,2006,60,3,1.0,0,0,1,1,N,N,,31-May-06,50000.0,0.0,P I F,0.0,50000.0,42500.0,4.9199014,7.3615565,-3.5586524,2
33,33,1000534006,PPP COMMUNICATIONS,WASHINGTON,IA,52353,WASHINGTON STATE BANK,IA,454210,28-Feb-97,1997,84,2,2.0,0,0,1,0,N,N,,31-Oct-97,30000.0,0.0,P I F,0.0,30000.0,22500.0,-13.087342,-0.29907125,-1.7731022,4
34,34,1000536009,HUTMACHER HOLDINGS INC,LEANDER,TX,78641,WELLS FARGO BANK NATL ASSOC,SD,541611,7-Feb-06,2006,80,2,1.0,4,6,1,2,Y,N,,31-May-06,63076.0,0.0,P I F,0.0,25000.0,12500.0,3.3215275,5.8031497,-2.7592626,2
35,35,1000544009,PRESTIGE LIMOUSINE SERVICE,ROANOKE,VA,24015,FIRST COMMUNITY BANK,VA,0,28-Feb-97,1997,84,2,1.0,0,0,1,0,N,Y,,14-Mar-97,60000.0,0.0,P I F,0.0,60000.0,48000.0,1.6676946,-2.669695,14.073697,1
36,36,1000554001,PAUL E. & JUDY A. FAATZ,KINSMAN,OH,44428,CORTLAND SAVINGS & BK. CO.,OH,0,28-Feb-97,1997,137,2,1.0,0,0,1,0,N,Y,18-Apr-02,30-Jun-97,47000.0,0.0,CHGOFF,14084.0,47000.0,37600.0,1.8344622,-2.482689,12.187325,1
37,37,1000574007,VILLAGE REST HOME,NORTH EASTON,MA,2356,HOME LOAN INVEST BANK F.S.B.,RI,0,28-Feb-97,1997,84,9,1.0,0,0,1,0,N,Y,,31-May-97,70000.0,0.0,P I F,0.0,70000.0,56000.0,1.7841659,-4.0165343,14.881267,1
38,38,1000576010,CORBIN CREEK GREENHOUSE,SPRINGFIELD,TN,37172,BBCN BANK,CA,453110,7-Feb-06,2006,84,4,1.0,1,4,1,1,0,N,,28-Feb-06,20000.0,0.0,P I F,0.0,20000.0,17000.0,4.3287535,7.374569,-1.8526146,2
39,39,1000584010,JFJ PROCESSORS,LEWISBURG,TN,37091,FIRST FARMERS & MERCHANTS BK,TN,311611,28-Feb-97,1997,180,7,1.0,0,0,1,0,0,N,,30-Apr-97,245000.0,0.0,P I F,0.0,245000.0,183750.0,-1.2549479,-2.809949,3.6371367,3
40,40,1000594002,"M.A.S. TRUCKING, INC.",SPRINGFIELD,IL,62702,"PNC BANK, NATIONAL ASSOCIATION",IL,0,28-Feb-97,1997,84,3,1.0,0,0,1,0,0,N,,31-May-97,225000.0,0.0,P I F,0.0,225000.0,168750.0,1.0752592,-3.3224578,10.5807705,1
41,41,1000624009,OLD LOUISVILLE INN,LOUISVILLE,KY,40208,"PNC BANK, NATIONAL ASSOCIATION",KY,0,28-Feb-97,1997,126,5,1.0,0,0,1,0,0,N,,31-May-97,40000.0,0.0,P I F,0.0,40000.0,30000.0,1.7952745,-2.45113,12.419757,1
42,42,1000634001,IRON HORSE FABRICATIONS,LELAND,MS,38756,STATE BANK & TRUST COMPANY,MS,332996,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,Y,,30-Jun-97,100000.0,0.0,P I F,0.0,100000.0,80000.0,-13.154908,-1.073366,-2.080604,4
43,43,1000653000,LARRY SCHOETTMER FORD INC,EDINBURGH,IN,46124,JPMORGAN CHASE BANK NATL ASSOC,IN,0,11-Jun-80,1980,120,16,2.0,0,0,0,0,Y,N,4-Oct-89,31-Jul-80,197485.0,0.0,CHGOFF,44374.0,200000.0,150000.0,-8.65164,7.7166643,2.7160306,4
44,44,1000655003,Sun Service Center,Newburgh,NY,12550,WELLS FARGO BANK NATL ASSOC,SD,0,4-Oct-96,1997,84,3,1.0,0,0,1,0,0,N,,31-Jul-97,25000.0,0.0,P I F,0.0,25000.0,12500.0,2.0071304,-3.158332,14.385968,1
45,45,1000665006,"Dover Quality Foods, Inc.",Dover (census name for Dover C,MA,2030,BANK OF AMERICA NATL ASSOC,MA,0,25-Mar-97,1997,12,20,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0,3.0123782,-2.6347885,18.134476,1
46,46,1000674002,SNADER EXCAVATING AND TRUCKING,SMITHVILLE,OH,44677,FIRST NATIONAL BANK,OH,235930,28-Feb-97,1997,84,1,1.0,0,0,1,0,N,Y,,31-Mar-97,71000.0,0.0,P I F,0.0,71000.0,56800.0,0.84755725,0.7907046,13.788429,1
47,47,1000675009,RAYMIES GROCERIES INC.,Chicago,IL,60628,WELLS FARGO BANK NATL ASSOC,SD,0,25-Mar-97,1997,84,4,1.0,0,0,1,0,0,N,,31-Jul-99,25000.0,0.0,P I F,0.0,25000.0,12500.0,1.2356678,-1.03256,11.773586,1
48,48,1000685001,ANYWHERE SPORTS PRODUCTIONS,Marina del Ray,CA,90292,WELLS FARGO BANK NATL ASSOC,SD,0,25-Mar-97,1997,84,6,1.0,0,0,1,0,Y,N,,31-Oct-97,30570.0,0.0,P I F,0.0,25000.0,12500.0,0.89033204,-0.4359414,10.480261,1
49,49,1000686008,SIMCO PRE-OWNED AUTO BROKERS,WINSOR MILL,MD,21244,BBCN BANK,CA,441120,7-Feb-06,2006,84,1,2.0,0,1,1,1,0,N,,28-Feb-06,10000.0,0.0,P I F,0.0,10000.0,8500.0,-7.037824,1.5732111,-10.390064,0
50,50,1000694008,"SPOTSYLVANIA TOTAL HEALTH, INC",SPOTSYLVANIA,VA,22553,UNION FIRST MARKET BANK,VA,621310,28-Feb-97,1997,60,7,2.0,0,0,1,0,N,Y,,5-Mar-97,35000.0,0.0,P I F,0.0,35000.0,28000.0,-11.86037,-0.24864534,-2.3403227,4
51,51,1000695004,Karl Duclos,Fall River,MA,2720,BANK OF AMERICA NATL ASSOC,MA,235510,25-Mar-97,1997,12,1,1.0,0,0,1,0,0,N,,30-Sep-97,10000.0,0.0,P I F,0.0,10000.0,5000.0,3.3763356,1.357735,16.874914,1
52,52,1000704009,"WANAMAKERS MGMT., INC.",AKRON,OH,44303,U.S. BANK NATIONAL ASSOCIATION,OH,722410,28-Feb-97,1997,120,5,1.0,0,0,1,0,N,Y,,30-Jun-97,99963.0,0.0,P I F,0.0,99963.0,79970.0,-0.88902295,4.73643,14.918171,1
53,53,1000705005,"Alan S. Budd D.M.D., P.C.",Boston,MA,2116,BANK OF AMERICA NATL ASSOC,RI,621210,26-Mar-97,1997,12,1,1.0,0,0,1,0,0,N,,30-Sep-97,25000.0,0.0,P I F,0.0,25000.0,12500.0,2.7625992,4.3238287,16.410866,1
54,54,1000714001,HUGH GIBBONS PLUMBING AND HEAT,SWARTHMORE,PA,19081,"TD BANK, NATIONAL ASSOCIATION",PA,448130,28-Feb-97,1997,42,2,1.0,0,0,1,0,N,Y,,31-Mar-97,15000.0,0.0,P I F,0.0,15000.0,12000.0,1.7372662,3.5009673,15.908455,1
55,55,1000715008,John Dailey,Castro Valley,CA,94546,WELLS FARGO BANK NATL ASSOC,SD,0,26-Mar-97,1997,84,2,1.0,0,0,1,0,0,N,,31-May-99,15000.0,0.0,P I F,0.0,15000.0,7500.0,0.8192497,-0.420241,10.325359,1
56,56,1000724004,KR MENS CASUALS,PERRYSBURG,OH,43551,THE HUNTINGTON NATIONAL BANK,OH,0,28-Feb-97,1997,96,1,2.0,0,0,1,0,N,Y,,31-Mar-97,60000.0,0.0,P I F,0.0,60000.0,48000.0,-14.75655,-4.426334,-2.5080175,4
57,57,1000725000,Lined Valve Company Inc.,Beaverton,OR,97008,WELLS FARGO BANK NATL ASSOC,SD,332911,28-Mar-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Aug-02,25000.0,0.0,P I F,0.0,25000.0,12500.0,-1.1433806,4.7442503,11.607562,1
58,58,1000726007,NEW DIMENSION HOMES INC,CLINTON (CENSUS NAME FOR CLINT,ME,4927,WELLS FARGO BANK NATL ASSOC,SD,236115,7-Feb-06,2006,167,9,1.0,0,9,1,1,0,N,26-Jun-14,28-Feb-06,1350000.0,0.0,CHGOFF,1043508.0,1350000.0,1012500.0,-4.6261263,9.51279,0.6662238,4
59,59,1000734007,CREATIVE COMMUNICATION OF KANS,SHAWNEE MISSION,KS,66204,UNION BANK,MO,512110,28-Feb-97,1997,84,5,1.0,0,0,1,0,N,Y,,30-Apr-97,83711.0,0.0,P I F,0.0,86252.0,69002.0,-0.6475986,4.191112,13.3673725,1
60,60,1000735003,Mykols Marine Inc.,Spring Lake,MI,49417,WELLS FARGO BANK NATL ASSOC,SD,713930,31-Mar-97,1997,7,10,1.0,0,0,1,0,0,N,4-Oct-05,28-Feb-98,25000.0,0.0,CHGOFF,23484.0,25000.0,12500.0,-0.19517696,4.789411,14.223662,1
61,61,1000745006,The Barber Agency Inc.,Greenville,NC,27858,WELLS FARGO BANK NATL ASSOC,SD,541810,28-Mar-97,1997,84,8,1.0,0,0,1,0,0,N,,31-Oct-97,10000.0,0.0,P I F,0.0,10000.0,5000.0,0.426488,4.12881,15.610185,1
62,62,1000746002,ANGEL,LOS ANGELES,CA,60014,BBCN BANK,CA,315212,7-Feb-06,2006,36,20,2.0,20,20,1,1,0,N,,28-Feb-06,35000.0,0.0,P I F,0.0,35000.0,17500.0,3.2944176,-7.954405,-5.1087728,3
63,63,1000754002,"MCCRANEY, INC.",SANTA ANA,CA,92703,BANK OF THE WEST,CA,0,28-Feb-97,1997,300,50,1.0,0,0,1,0,0,N,,31-Mar-97,745000.0,0.0,P I F,0.0,745000.0,558750.0,-2.0978372,-6.253628,3.5613754,3
64,64,1000755009,Grass Valley Market,Grass Valley,OR,0,WELLS FARGO BANK NATL ASSOC,SD,0,31-Mar-97,1997,37,7,1.0,0,0,1,0,0,N,1-Mar-02,28-Feb-98,20000.0,0.0,CHGOFF,19653.0,20000.0,10000.0,3.9221296,-2.7416716,15.804557,1
65,65,1000756005,B&B DIPNETS,WASILLA,AK,99654,WELLS FARGO BANK NATL ASSOC,SD,314999,7-Feb-06,2006,83,2,1.0,0,2,1,1,Y,N,,28-Feb-06,78218.0,0.0,P I F,0.0,30000.0,15000.0,4.4070153,6.553235,-4.3358073,2
66,66,1000764005,"LABELLE MARIEE, INC.",KIRKLAND,WA,98033,BANK OF AMERICA NATL ASSOC,WA,448120,28-Feb-97,1997,12,10,1.0,0,0,1,0,0,N,,31-Dec-97,30000.0,0.0,P I F,0.0,30000.0,15000.0,-4.278886,8.359958,9.816678,1
67,67,1000766008,LILY DAY GARDENS,BURNET,TX,78611,WELLS FARGO BANK NATL ASSOC,SD,444220,7-Feb-06,2006,26,4,2.0,1,5,1,2,Y,N,27-Jan-11,28-Feb-06,60859.0,0.0,CHGOFF,19994.0,20000.0,10000.0,-5.0595503,3.3876266,-10.177713,0
68,68,1000774008,"ACADEMIE DE BALLET, INC.",CHESAPEAKE,VA,23220,TIDEWATER BUS. FINANCING CORP,VA,0,28-Feb-97,1997,240,18,1.0,10,0,1,0,N,N,,15-Apr-98,183000.0,0.0,P I F,0.0,183000.0,183000.0,4.927082,-10.301919,-1.5218563,3
69,69,1000775004,Larry P. Occhipinti,Patterson,CA,95363,WELLS FARGO BANK NATL ASSOC,SD,541940,1-Apr-97,1997,84,2,1.0,0,0,1,0,0,N,,31-Oct-97,18107.0,0.0,P I F,0.0,20000.0,10000.0,-1.4989998,5.1038175,11.892698,1
70,70,1000785007,Baltazar Garza,Fresno,CA,93612,WELLS FARGO BANK NATL ASSOC,SD,811111,1-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Aug-02,10000.0,0.0,P I F,0.0,10000.0,5000.0,-2.236909,5.385919,12.907018,1
71,71,1000786003,MICHAEL GADEKEN DDS PC,GRAND JUNCTION,CO,81506,WELLS FARGO BANK NATL ASSOC,SD,621210,7-Feb-06,2006,264,9,1.0,0,9,1,1,0,N,,31-Mar-06,1524200.0,0.0,P I F,0.0,1535000.0,1151250.0,-0.4812863,-7.8216662,0.59746534,3
72,72,1000794003,"STEVENSON PEST CONTROL, INC.",YUBA CITY,CA,95992,GOLDEN PACIFIC BANK NATL ASSOC,CA,0,28-Feb-97,1997,60,3,1.0,0,0,1,0,N,N,,30-Jun-97,40000.0,0.0,P I F,0.0,40000.0,32000.0,0.56091434,-0.10545313,10.453199,1
73,73,1000795010,Elie Baking Corp.,Lawrence,MA,1840,BANK OF AMERICA NATL ASSOC,NC,311812,2-Apr-97,1997,60,9,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0,1.6970954,2.4734962,17.661705,1
74,74,1000804004,"STEPHANIE DEVELOPMENT, L.L.C.",CANTON,MI,48390,BANK OF AMERICA NATL ASSOC,MI,0,28-Feb-97,1997,72,1,2.0,0,0,1,0,0,N,,30-Apr-97,384000.0,0.0,P I F,0.0,384000.0,288000.0,-10.673963,-6.8139534,-1.8758233,4
75,75,1000805000,"Regalia Bridal, Inc.",Boston,MA,2108,BANK OF AMERICA NATL ASSOC,MA,0,3-Apr-97,1997,24,20,1.0,0,0,1,0,0,N,,30-Sep-97,50000.0,0.0,P I F,0.0,50000.0,25000.0,3.5134978,-3.1395662,17.490702,1
76,76,1000815003,Robert's Realty of Victor Inc.,Victor,MT,59875,WELLS FARGO BANK NATL ASSOC,SD,0,3-Apr-97,1997,84,1,1.0,0,0,1,2,0,N,,31-Aug-97,25000.0,0.0,P I F,0.0,25000.0,12500.0,1.8999983,1.8323525,3.9043257,1
77,77,1000816010,TULON PACIFIC LLC,IRVINE,CA,92618,WELLS FARGO BANK NATL ASSOC,SD,423710,7-Feb-06,2006,36,18,1.0,1,19,1,1,Y,N,,31-Mar-06,577000.0,0.0,P I F,0.0,300000.0,150000.0,4.5690722,-4.9511495,-7.3060203,3
78,78,1000824010,AADVANTAGE INSURANCE & FINANCI,FORT WASHINGTON,PA,19034,UNITED BANK OF PHILADELPHIA,PA,524128,28-Feb-97,1997,84,5,2.0,0,0,1,0,N,Y,,30-Jun-98,35000.0,0.0,P I F,0.0,35000.0,28000.0,-11.898516,-0.63505536,-2.4895823,4
79,79,1000825006,W L R Inc.,Sheridan,WY,82801,WELLS FARGO BANK NATL ASSOC,SD,213112,3-Apr-97,1997,84,1,1.0,0,0,1,0,0,N,,30-Nov-97,10000.0,0.0,P I F,0.0,10000.0,5000.0,1.4340365,0.38302073,10.587183,1
80,80,1000826002,GUADALAJARA DISTRIBUTORS,NORTH HILLS,CA,91343,BBCN BANK,CA,514199,7-Feb-06,2006,84,1,2.0,0,1,1,1,0,N,,28-Feb-06,5000.0,0.0,P I F,0.0,5000.0,4250.0,-5.696031,3.2041361,-11.112551,0
81,81,1000834002,"EXPRESSIONS HAIR, TANNING & NA",PEARL,MS,39208,TRUSTMARK NATIONAL BANK,MS,0,28-Feb-97,1997,72,5,2.0,0,0,1,0,N,Y,,30-Apr-97,22380.0,0.0,P I F,0.0,23000.0,18400.0,-14.378077,-4.519904,-2.7010746,4
82,82,1000835009,"Birds Of A Feather, Inc.",Wilmington,MA,1887,BANK OF AMERICA NATL ASSOC,MA,0,4-Apr-97,1997,12,3,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0,2.8208022,-1.5619078,17.521912,1
83,83,1000836005,URBAN BEAST-SEATTLE LLC,SEATTLE,WA,98109,U.S. BANK NATIONAL ASSOCIATION,OH,453910,7-Feb-06,2006,5,1,2.0,3,4,1,1,0,N,24-May-10,31-Aug-06,28090.0,0.0,CHGOFF,28090.0,28300.0,24055.0,-5.329457,3.8032477,-10.500116,0
84,84,1000844005,"WOODLAND PUBLISHING, INC",PLEASANT GROVE,UT,84062,MOUNTAIN W. SMALL BUS. FINAN,UT,323117,28-Feb-97,1997,240,20,1.0,8,8,1,0,N,N,,11-Jun-97,208000.0,0.0,P I F,0.0,208000.0,208000.0,5.1999507,-9.356867,-1.3291156,3
85,85,1000845001,"The Software Workbench, Inc.",Manchester,NH,3101,BANK OF AMERICA NATL ASSOC,RI,0,4-Apr-97,1997,60,4,1.0,0,0,1,0,0,N,,31-May-97,44650.0,0.0,P I F,0.0,44650.0,22325.0,2.6091337,-3.2607083,15.239901,1
86,86,1000865007,"Squeegee Graphics, Inc.",Leicester (census name Leicest,MA,1611,BANK OF AMERICA NATL ASSOC,MA,0,7-Apr-97,1997,12,4,1.0,0,0,1,0,0,N,,31-May-97,25000.0,0.0,P I F,0.0,25000.0,12500.0,3.750523,-1.9856782,16.705683,1
87,87,1000885002,Steve Trujillo,Pueblo,CO,81005,WELLS FARGO BANK NATL ASSOC,SD,0,7-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Oct-00,7015.0,0.0,P I F,0.0,15000.0,7500.0,1.0299633,-0.6116549,10.855994,1
88,88,1000895005,C D Welch Jr.,Orangeburg,SC,29118,WELLS FARGO BANK NATL ASSOC,SD,0,7-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,30-Nov-97,14027.0,0.0,P I F,0.0,25000.0,12500.0,1.7302448,-2.3686454,13.828851,1
