,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
10,1000134004,COMMERCIAL TRUCKING MAINTENANC,CHARLOTTE,NC,28256,SUNTRUST BANK,GA,811111,28-Feb-97,1997,84,1,2.0,0,0,1,0,N,Y,,23-Feb-98,70000.0,0.0,P I F,0.0,70000.0,56000.0
11,1000144007,PROFESSIONAL ELEVATOR SERVICES,CHICAGO,IL,60605,BANK OF AMERICA NATL ASSOC,OR,235950,28-Feb-97,1997,60,24,1.0,0,0,1,0,N,N,,30-Nov-97,150000.0,0.0,P I F,0.0,300000.0,225000.0
12,1000146010,CARVEL,APEX,NC,27502,STEARNS BK NATL ASSOC,MN,445299,7-Feb-06,2006,162,2,2.0,0,0,15100,1,N,N,,31-Mar-06,253400.0,0.0,P I F,0.0,253400.0,190050.0
13,1000154010,"ORCHARD CAFE & BAKERY, INC.",SLATERSVILLE,RI,2876,CITIZENS BANK NATL ASSOC,RI,0,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,N,,31-May-97,370000.0,0.0,P I F,0.0,370000.0,277500.0
14,1000214004,EBC INVESTMENTS LLC,WINSTON-SALEM,NC,27106,NORTHWEST PIEDMONT DEVEL CORPO,NC,0,28-Feb-97,1997,240,1,1.0,30,0,1,0,N,N,,17-Dec-97,225000.0,0.0,P I F,0.0,225000.0,225000.0
15,1000244002,"ENVIRONMENTAL ROOFING SYSTEMS,",OKLAHOMA CITY,OK,73112,BANK OF AMERICA NATL ASSOC,NC,421330,28-Feb-97,1997,12,5,2.0,0,0,1,0,N,N,,30-Sep-97,350000.0,0.0,P I F,0.0,350000.0,262500.0
16,1000254005,ARK MAMAGEMENT ENTERPRISES INC,MIDLAND,TX,79701,WELLS FARGO BANK NATL ASSOC,TX,0,28-Feb-97,1997,60,5,1.0,0,0,1,0,N,Y,,30-Jun-97,70000.0,0.0,P I F,0.0,70000.0,56000.0
17,1000264008,"FAIRFAX COURT SUBWAY, INC.",CENTREVILLE,VA,20120,BANK OF AMERICA NATL ASSOC,MD,0,28-Feb-97,1997,60,16,1.0,0,0,1,0,N,Y,,31-Jul-97,100000.0,0.0,P I F,0.0,100000.0,80000.0
18,1000284003,FANTASTIC SAMS,PLANO,TX,75093,NEWTEK SMALL BUS. FINANCE INC.,NY,0,28-Feb-97,1997,84,12,2.0,0,0,19755,0,N,Y,,31-May-97,57500.0,0.0,P I F,0.0,57500.0,46000.0
19,1000294006,SIR GOONY'S GOLF,KNOXVILLE,TN,37922,CITIZENS NATIONAL BANK,TN,0,28-Feb-97,1997,120,4,2.0,0,0,1,0,N,Y,,31-May-98,50000.0,0.0,P I F,0.0,50000.0,40000.0
20,1000324002,ECONOLODGE OF DUMAS,DUMAS,TX,79029,"BUSINESS LOAN CENTER, LLC",SC,0,28-Feb-97,1997,300,12,2.0,0,0,1,0,N,N,,30-Apr-97,615000.0,0.0,P I F,0.0,615000.0,461250.0
21,1000344008,"YOUNG ACHIEVERS PRESCHOOL, INC",CORAL SPRINGS,FL,33065,BANESCO USA,FL,624410,28-Feb-97,1997,87,2,1.0,0,0,1,0,N,N,,31-Aug-97,70000.0,0.0,P I F,0.0,70000.0,56000.0
22,1000394001,NICOLES RESTAURANT,JOHNSTON,RI,2919,BANK OF AMERICA NATL ASSOC,RI,0,28-Feb-97,1997,114,6,1.0,0,0,1,0,N,N,,31-Mar-98,75000.0,0.0,P I F,0.0,75000.0,56250.0
23,1000434000,"TRIANGLE MACHINE & MFG., INC.",EULESS,TX,76040,"FIRST BANK TEXAS, SSB",TX,0,28-Feb-97,1997,144,90,1.0,0,0,1,0,N,N,,30-Apr-97,1250000.0,0.0,P I F,0.0,1250000.0,937500.0
24,1000446006,SUBWAY,LITTLE ROCK,AR,72223,HOPE FCU,MS,722211,7-Feb-06,2006,126,7,1.0,0,0,1,1,N,N,,30-Apr-06,137300.0,0.0,P I F,0.0,137300.0,116705.0
25,1000474001,DEE'S CORNER BAIT & TACKLE,SAINT PETER,MN,56082,WELLS FARGO BANK NATL ASSOC,MN,451110,28-Feb-97,1997,60,2,1.0,0,0,1,0,N,N,,30-Apr-97,39500.0,0.0,P I F,0.0,39500.0,29625.0
26,1000484004,"C & S TRANSIT, INC.",INDEPENDENCE,MO,64055,BANK OF AMERICA NATL ASSOC,NC,0,28-Feb-97,1997,60,2,2.0,0,0,1,0,0,N,,31-May-98,50000.0,0.0,P I F,0.0,50000.0,25000.0
27,1000504008,HUNTERSBROOK STABLE,MARSHFIELD,MA,2050,ROCKLAND TRUST COMPANY,MA,0,28-Feb-97,1997,240,3,1.0,0,0,1,0,N,Y,,31-Jul-97,75000.0,0.0,P I F,0.0,75000.0,60000.0
28,1000506000,WEYLAND CORPORATION,CAMARILLO,CA,93010,WELLS FARGO BANK NATL ASSOC,SD,611110,7-Feb-06,2006,83,18,2.0,5,23,1,1,Y,N,,28-Feb-06,438541.0,0.0,P I F,0.0,100000.0,50000.0
29,1000514000,"SCROOGE'S SPIRIT, INC.",ANDERSON,SC,29621,CERTIFIED DEVEL CORP OF SO. CA,SC,445310,28-Feb-97,1997,240,1,2.0,5,0,1,0,N,N,,14-Jan-98,291000.0,0.0,P I F,0.0,291000.0,291000.0
30,1000516003,CHICAGO BRICK UNLIMITED INC,MIAMI,FL,33186,"CITIBANK, N.A.",FL,238140,7-Feb-06,2006,84,4,1.0,0,4,1,1,Y,N,,28-Feb-06,51440.0,0.0,P I F,0.0,35000.0,17500.0
31,1000524003,AUDELIA FAMILY DENTAL GROUP,DALLAS,TX,75243,THE FROST NATIONAL BANK,TX,621210,28-Feb-97,1997,102,12,1.0,0,0,1,0,N,N,,31-Jul-97,600000.0,0.0,P I F,0.0,600000.0,450000.0
32,1000526006,"RZI, INC.",NEW ORLEANS,LA,70130,BUSINESS RES. CAP. SPECIALTY B,LA,532490,7-Feb-06,2006,60,3,1.0,0,0,1,1,N,N,,31-May-06,50000.0,0.0,P I F,0.0,50000.0,42500.0
33,1000534006,PPP COMMUNICATIONS,WASHINGTON,IA,52353,WASHINGTON STATE BANK,IA,454210,28-Feb-97,1997,84,2,2.0,0,0,1,0,N,N,,31-Oct-97,30000.0,0.0,P I F,0.0,30000.0,22500.0
34,1000536009,HUTMACHER HOLDINGS INC,LEANDER,TX,78641,WELLS FARGO BANK NATL ASSOC,SD,541611,7-Feb-06,2006,80,2,1.0,4,6,1,2,Y,N,,31-May-06,63076.0,0.0,P I F,0.0,25000.0,12500.0
35,1000544009,PRESTIGE LIMOUSINE SERVICE,ROANOKE,VA,24015,FIRST COMMUNITY BANK,VA,0,28-Feb-97,1997,84,2,1.0,0,0,1,0,N,Y,,14-Mar-97,60000.0,0.0,P I F,0.0,60000.0,48000.0
36,1000554001,PAUL E. & JUDY A. FAATZ,KINSMAN,OH,44428,CORTLAND SAVINGS & BK. CO.,OH,0,28-Feb-97,1997,137,2,1.0,0,0,1,0,N,Y,18-Apr-02,30-Jun-97,47000.0,0.0,CHGOFF,14084.0,47000.0,37600.0
37,1000574007,VILLAGE REST HOME,NORTH EASTON,MA,2356,HOME LOAN INVEST BANK F.S.B.,RI,0,28-Feb-97,1997,84,9,1.0,0,0,1,0,N,Y,,31-May-97,70000.0,0.0,P I F,0.0,70000.0,56000.0
38,1000576010,CORBIN CREEK GREENHOUSE,SPRINGFIELD,TN,37172,BBCN BANK,CA,453110,7-Feb-06,2006,84,4,1.0,1,4,1,1,0,N,,28-Feb-06,20000.0,0.0,P I F,0.0,20000.0,17000.0
39,1000584010,JFJ PROCESSORS,LEWISBURG,TN,37091,FIRST FARMERS & MERCHANTS BK,TN,311611,28-Feb-97,1997,180,7,1.0,0,0,1,0,0,N,,30-Apr-97,245000.0,0.0,P I F,0.0,245000.0,183750.0
40,1000594002,"M.A.S. TRUCKING, INC.",SPRINGFIELD,IL,62702,"PNC BANK, NATIONAL ASSOCIATION",IL,0,28-Feb-97,1997,84,3,1.0,0,0,1,0,0,N,,31-May-97,225000.0,0.0,P I F,0.0,225000.0,168750.0
41,1000624009,OLD LOUISVILLE INN,LOUISVILLE,KY,40208,"PNC BANK, NATIONAL ASSOCIATION",KY,0,28-Feb-97,1997,126,5,1.0,0,0,1,0,0,N,,31-May-97,40000.0,0.0,P I F,0.0,40000.0,30000.0
42,1000634001,IRON HORSE FABRICATIONS,LELAND,MS,38756,STATE BANK & TRUST COMPANY,MS,332996,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,Y,,30-Jun-97,100000.0,0.0,P I F,0.0,100000.0,80000.0
43,1000653000,LARRY SCHOETTMER FORD INC,EDINBURGH,IN,46124,JPMORGAN CHASE BANK NATL ASSOC,IN,0,11-Jun-80,1980,120,16,2.0,0,0,0,0,Y,N,4-Oct-89,31-Jul-80,197485.0,0.0,CHGOFF,44374.0,200000.0,150000.0
44,1000655003,Sun Service Center,Newburgh,NY,12550,WELLS FARGO BANK NATL ASSOC,SD,0,4-Oct-96,1997,84,3,1.0,0,0,1,0,0,N,,31-Jul-97,25000.0,0.0,P I F,0.0,25000.0,12500.0
45,1000665006,"Dover Quality Foods, Inc.",Dover (census name for Dover C,MA,2030,BANK OF AMERICA NATL ASSOC,MA,0,25-Mar-97,1997,12,20,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0
46,1000674002,SNADER EXCAVATING AND TRUCKING,SMITHVILLE,OH,44677,FIRST NATIONAL BANK,OH,235930,28-Feb-97,1997,84,1,1.0,0,0,1,0,N,Y,,31-Mar-97,71000.0,0.0,P I F,0.0,71000.0,56800.0
47,1000675009,RAYMIES GROCERIES INC.,Chicago,IL,60628,WELLS FARGO BANK NATL ASSOC,SD,0,25-Mar-97,1997,84,4,1.0,0,0,1,0,0,N,,31-Jul-99,25000.0,0.0,P I F,0.0,25000.0,12500.0
48,1000685001,ANYWHERE SPORTS PRODUCTIONS,Marina del Ray,CA,90292,WELLS FARGO BANK NATL ASSOC,SD,0,25-Mar-97,1997,84,6,1.0,0,0,1,0,Y,N,,31-Oct-97,30570.0,0.0,P I F,0.0,25000.0,12500.0
49,1000686008,SIMCO PRE-OWNED AUTO BROKERS,WINSOR MILL,MD,21244,BBCN BANK,CA,441120,7-Feb-06,2006,84,1,2.0,0,1,1,1,0,N,,28-Feb-06,10000.0,0.0,P I F,0.0,10000.0,8500.0
50,1000694008,"SPOTSYLVANIA TOTAL HEALTH, INC",SPOTSYLVANIA,VA,22553,UNION FIRST MARKET BANK,VA,621310,28-Feb-97,1997,60,7,2.0,0,0,1,0,N,Y,,5-Mar-97,35000.0,0.0,P I F,0.0,35000.0,28000.0
51,1000695004,Karl Duclos,Fall River,MA,2720,BANK OF AMERICA NATL ASSOC,MA,235510,25-Mar-97,1997,12,1,1.0,0,0,1,0,0,N,,30-Sep-97,10000.0,0.0,P I F,0.0,10000.0,5000.0
52,1000704009,"WANAMAKERS MGMT., INC.",AKRON,OH,44303,U.S. BANK NATIONAL ASSOCIATION,OH,722410,28-Feb-97,1997,120,5,1.0,0,0,1,0,N,Y,,30-Jun-97,99963.0,0.0,P I F,0.0,99963.0,79970.0
53,1000705005,"Alan S. Budd D.M.D., P.C.",Boston,MA,2116,BANK OF AMERICA NATL ASSOC,RI,621210,26-Mar-97,1997,12,1,1.0,0,0,1,0,0,N,,30-Sep-97,25000.0,0.0,P I F,0.0,25000.0,12500.0
54,1000714001,HUGH GIBBONS PLUMBING AND HEAT,SWARTHMORE,PA,19081,"TD BANK, NATIONAL ASSOCIATION",PA,448130,28-Feb-97,1997,42,2,1.0,0,0,1,0,N,Y,,31-Mar-97,15000.0,0.0,P I F,0.0,15000.0,12000.0
55,1000715008,John Dailey,Castro Valley,CA,94546,WELLS FARGO BANK NATL ASSOC,SD,0,26-Mar-97,1997,84,2,1.0,0,0,1,0,0,N,,31-May-99,15000.0,0.0,P I F,0.0,15000.0,7500.0
56,1000724004,KR MENS CASUALS,PERRYSBURG,OH,43551,THE HUNTINGTON NATIONAL BANK,OH,0,28-Feb-97,1997,96,1,2.0,0,0,1,0,N,Y,,31-Mar-97,60000.0,0.0,P I F,0.0,60000.0,48000.0
57,1000725000,Lined Valve Company Inc.,Beaverton,OR,97008,WELLS FARGO BANK NATL ASSOC,SD,332911,28-Mar-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Aug-02,25000.0,0.0,P I F,0.0,25000.0,12500.0
58,1000726007,NEW DIMENSION HOMES INC,CLINTON (CENSUS NAME FOR CLINT,ME,4927,WELLS FARGO BANK NATL ASSOC,SD,236115,7-Feb-06,2006,167,9,1.0,0,9,1,1,0,N,26-Jun-14,28-Feb-06,1350000.0,0.0,CHGOFF,1043508.0,1350000.0,1012500.0
59,1000734007,CREATIVE COMMUNICATION OF KANS,SHAWNEE MISSION,KS,66204,UNION BANK,MO,512110,28-Feb-97,1997,84,5,1.0,0,0,1,0,N,Y,,30-Apr-97,83711.0,0.0,P I F,0.0,86252.0,69002.0
60,1000735003,Mykols Marine Inc.,Spring Lake,MI,49417,WELLS FARGO BANK NATL ASSOC,SD,713930,31-Mar-97,1997,7,10,1.0,0,0,1,0,0,N,4-Oct-05,28-Feb-98,25000.0,0.0,CHGOFF,23484.0,25000.0,12500.0
61,1000745006,The Barber Agency Inc.,Greenville,NC,27858,WELLS FARGO BANK NATL ASSOC,SD,541810,28-Mar-97,1997,84,8,1.0,0,0,1,0,0,N,,31-Oct-97,10000.0,0.0,P I F,0.0,10000.0,5000.0
62,1000746002,ANGEL,LOS ANGELES,CA,60014,BBCN BANK,CA,315212,7-Feb-06,2006,36,20,2.0,20,20,1,1,0,N,,28-Feb-06,35000.0,0.0,P I F,0.0,35000.0,17500.0
63,1000754002,"MCCRANEY, INC.",SANTA ANA,CA,92703,BANK OF THE WEST,CA,0,28-Feb-97,1997,300,50,1.0,0,0,1,0,0,N,,31-Mar-97,745000.0,0.0,P I F,0.0,745000.0,558750.0
64,1000755009,Grass Valley Market,Grass Valley,OR,0,WELLS FARGO BANK NATL ASSOC,SD,0,31-Mar-97,1997,37,7,1.0,0,0,1,0,0,N,1-Mar-02,28-Feb-98,20000.0,0.0,CHGOFF,19653.0,20000.0,10000.0
65,1000756005,B&B DIPNETS,WASILLA,AK,99654,WELLS FARGO BANK NATL ASSOC,SD,314999,7-Feb-06,2006,83,2,1.0,0,2,1,1,Y,N,,28-Feb-06,78218.0,0.0,P I F,0.0,30000.0,15000.0
66,1000764005,"LABELLE MARIEE, INC.",KIRKLAND,WA,98033,BANK OF AMERICA NATL ASSOC,WA,448120,28-Feb-97,1997,12,10,1.0,0,0,1,0,0,N,,31-Dec-97,30000.0,0.0,P I F,0.0,30000.0,15000.0
67,1000766008,LILY DAY GARDENS,BURNET,TX,78611,WELLS FARGO BANK NATL ASSOC,SD,444220,7-Feb-06,2006,26,4,2.0,1,5,1,2,Y,N,27-Jan-11,28-Feb-06,60859.0,0.0,CHGOFF,19994.0,20000.0,10000.0
68,1000774008,"ACADEMIE DE BALLET, INC.",CHESAPEAKE,VA,23220,TIDEWATER BUS. FINANCING CORP,VA,0,28-Feb-97,1997,240,18,1.0,10,0,1,0,N,N,,15-Apr-98,183000.0,0.0,P I F,0.0,183000.0,183000.0
69,1000775004,Larry P. Occhipinti,Patterson,CA,95363,WELLS FARGO BANK NATL ASSOC,SD,541940,1-Apr-97,1997,84,2,1.0,0,0,1,0,0,N,,31-Oct-97,18107.0,0.0,P I F,0.0,20000.0,10000.0
70,1000785007,Baltazar Garza,Fresno,CA,93612,WELLS FARGO BANK NATL ASSOC,SD,811111,1-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Aug-02,10000.0,0.0,P I F,0.0,10000.0,5000.0
71,1000786003,MICHAEL GADEKEN DDS PC,GRAND JUNCTION,CO,81506,WELLS FARGO BANK NATL ASSOC,SD,621210,7-Feb-06,2006,264,9,1.0,0,9,1,1,0,N,,31-Mar-06,1524200.0,0.0,P I F,0.0,1535000.0,1151250.0
72,1000794003,"STEVENSON PEST CONTROL, INC.",YUBA CITY,CA,95992,GOLDEN PACIFIC BANK NATL ASSOC,CA,0,28-Feb-97,1997,60,3,1.0,0,0,1,0,N,N,,30-Jun-97,40000.0,0.0,P I F,0.0,40000.0,32000.0
73,1000795010,Elie Baking Corp.,Lawrence,MA,1840,BANK OF AMERICA NATL ASSOC,NC,311812,2-Apr-97,1997,60,9,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0
74,1000804004,"STEPHANIE DEVELOPMENT, L.L.C.",CANTON,MI,48390,BANK OF AMERICA NATL ASSOC,MI,0,28-Feb-97,1997,72,1,2.0,0,0,1,0,0,N,,30-Apr-97,384000.0,0.0,P I F,0.0,384000.0,288000.0
75,1000805000,"Regalia Bridal, Inc.",Boston,MA,2108,BANK OF AMERICA NATL ASSOC,MA,0,3-Apr-97,1997,24,20,1.0,0,0,1,0,0,N,,30-Sep-97,50000.0,0.0,P I F,0.0,50000.0,25000.0
76,1000815003,Robert's Realty of Victor Inc.,Victor,MT,59875,WELLS FARGO BANK NATL ASSOC,SD,0,3-Apr-97,1997,84,1,1.0,0,0,1,2,0,N,,31-Aug-97,25000.0,0.0,P I F,0.0,25000.0,12500.0
77,1000816010,TULON PACIFIC LLC,IRVINE,CA,92618,WELLS FARGO BANK NATL ASSOC,SD,423710,7-Feb-06,2006,36,18,1.0,1,19,1,1,Y,N,,31-Mar-06,577000.0,0.0,P I F,0.0,300000.0,150000.0
78,1000824010,AADVANTAGE INSURANCE & FINANCI,FORT WASHINGTON,PA,19034,UNITED BANK OF PHILADELPHIA,PA,524128,28-Feb-97,1997,84,5,2.0,0,0,1,0,N,Y,,30-Jun-98,35000.0,0.0,P I F,0.0,35000.0,28000.0
79,1000825006,W L R Inc.,Sheridan,WY,82801,WELLS FARGO BANK NATL ASSOC,SD,213112,3-Apr-97,1997,84,1,1.0,0,0,1,0,0,N,,30-Nov-97,10000.0,0.0,P I F,0.0,10000.0,5000.0
80,1000826002,GUADALAJARA DISTRIBUTORS,NORTH HILLS,CA,91343,BBCN BANK,CA,514199,7-Feb-06,2006,84,1,2.0,0,1,1,1,0,N,,28-Feb-06,5000.0,0.0,P I F,0.0,5000.0,4250.0
81,1000834002,"EXPRESSIONS HAIR, TANNING & NA",PEARL,MS,39208,TRUSTMARK NATIONAL BANK,MS,0,28-Feb-97,1997,72,5,2.0,0,0,1,0,N,Y,,30-Apr-97,22380.0,0.0,P I F,0.0,23000.0,18400.0
82,1000835009,"Birds Of A Feather, Inc.",Wilmington,MA,1887,BANK OF AMERICA NATL ASSOC,MA,0,4-Apr-97,1997,12,3,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0
83,1000836005,URBAN BEAST-SEATTLE LLC,SEATTLE,WA,98109,U.S. BANK NATIONAL ASSOCIATION,OH,453910,7-Feb-06,2006,5,1,2.0,3,4,1,1,0,N,24-May-10,31-Aug-06,28090.0,0.0,CHGOFF,28090.0,28300.0,24055.0
84,1000844005,"WOODLAND PUBLISHING, INC",PLEASANT GROVE,UT,84062,MOUNTAIN W. SMALL BUS. FINAN,UT,323117,28-Feb-97,1997,240,20,1.0,8,8,1,0,N,N,,11-Jun-97,208000.0,0.0,P I F,0.0,208000.0,208000.0
85,1000845001,"The Software Workbench, Inc.",Manchester,NH,3101,BANK OF AMERICA NATL ASSOC,RI,0,4-Apr-97,1997,60,4,1.0,0,0,1,0,0,N,,31-May-97,44650.0,0.0,P I F,0.0,44650.0,22325.0
86,1000865007,"Squeegee Graphics, Inc.",Leicester (census name Leicest,MA,1611,BANK OF AMERICA NATL ASSOC,MA,0,7-Apr-97,1997,12,4,1.0,0,0,1,0,0,N,,31-May-97,25000.0,0.0,P I F,0.0,25000.0,12500.0
87,1000885002,Steve Trujillo,Pueblo,CO,81005,WELLS FARGO BANK NATL ASSOC,SD,0,7-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Oct-00,7015.0,0.0,P I F,0.0,15000.0,7500.0
88,1000895005,C D Welch Jr.,Orangeburg,SC,29118,WELLS FARGO BANK NATL ASSOC,SD,0,7-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,30-Nov-97,14027.0,0.0,P I F,0.0,25000.0,12500.0
89,1000896001,SHAFI SECURITY,THORNTON,CO,80602,JPMORGAN CHASE BANK NATL ASSOC,IL,561612,7-Feb-06,2006,54,4,1.0,8,4,1,2,Y,N,26-Sep-08,28-Feb-06,76432.0,0.0,CHGOFF,28979.0,30000.0,15000.0
90,1000904010,"FOODETTE, THE",VINTON,VA,24179,"BUSINESS FINANCE GROUP, INC.",VA,0,28-Feb-97,1997,240,17,1.0,10,0,1,0,N,N,,13-May-98,357000.0,0.0,P I F,0.0,357000.0,357000.0
91,1000905006,Houssam Joudi,Redondo Beach,CA,90278,WELLS FARGO BANK NATL ASSOC,SD,0,7-Apr-97,1997,84,1,1.0,0,0,1,0,0,N,,31-Mar-00,25000.0,0.0,P I F,0.0,25000.0,12500.0
92,1000915009,Christian Hinderer,Waterville,WA,98858,WELLS FARGO BANK NATL ASSOC,SD,422720,8-Apr-97,1997,84,7,1.0,0,0,1,0,0,N,,30-Nov-97,4987.0,0.0,P I F,0.0,10000.0,5000.0
93,1000925001,Vincent Pilotta,Pittsburgh,PA,15214,WELLS FARGO BANK NATL ASSOC,SD,422810,8-Apr-97,1997,84,2,1.0,0,0,1,0,0,N,,31-May-00,20000.0,0.0,P I F,0.0,20000.0,10000.0
94,1000926008,TOUCHPOINTS MARKETING LLC,BELLE CHASSE,LA,70037,GULF COAST BK & TR CO,LA,541810,7-Feb-06,2006,120,16,2.0,16,1,1,0,0,N,,28-Feb-06,150000.0,0.0,P I F,0.0,150000.0,127500.0
95,1000935004,Hairline Inc.,Vancouver,WA,98663,WELLS FARGO BANK NATL ASSOC,SD,0,8-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,28-Feb-99,10000.0,0.0,P I F,0.0,10000.0,5000.0
96,1000944000,THE CAT'S MEOW,CEDAR RAPIDS,IA,52402,U.S. BANK NATIONAL ASSOCIATION,IA,451120,28-Feb-97,1997,87,6,1.0,0,0,1,0,N,Y,,31-Aug-97,46531.0,0.0,P I F,0.0,75000.0,60000.0
97,1000945007,James & Sheryl Brower,Clackamas,OR,97015,WELLS FARGO BANK NATL ASSOC,SD,421940,8-Apr-97,1997,84,2,1.0,0,0,1,0,0,N,,31-Oct-97,10000.0,0.0,P I F,0.0,10000.0,5000.0
98,1000965002,"KING'S GRANT RACQUET CLUB, INC",Cotuit,MA,2635,BANK OF AMERICA NATL ASSOC,MA,0,10-Apr-97,1997,300,5,1.0,0,0,1,0,0,N,,30-Jun-97,60000.0,0.0,P I F,0.0,60000.0,30000.0
99,1000975005,Garden Food Store,Garden Grove,CA,92844,WELLS FARGO BANK NATL ASSOC,SD,0,11-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,30-Sep-97,8820.0,0.0,P I F,0.0,10000.0,5000.0
100,1000985008,"KENNETH COTE SALON, INC.",PROVIDENCE,RI,2906,BANK OF AMERICA NATL ASSOC,NC,0,14-Apr-97,1997,12,32,1.0,0,0,1,0,0,N,,31-Oct-97,10000.0,0.0,P I F,0.0,10000.0,5000.0
101,1000995000,"E and V Oil Company, Inc.",Seekonk (Town of),MA,2771,BANK OF AMERICA NATL ASSOC,MA,454311,15-Apr-97,1997,12,5,1.0,0,0,1,0,0,N,,31-Jan-98,50000.0,0.0,P I F,0.0,50000.0,25000.0
102,1001005009,Valencia Liquor Store,Valencia,CA,91321,WELLS FARGO BANK NATL ASSOC,SD,445310,21-Apr-97,1997,84,9,1.0,0,0,1,0,0,N,,30-Nov-97,7085.0,0.0,P I F,0.0,25000.0,12500.0
103,1001015001,The Cheese Box,Moses Lake,WA,98837,WELLS FARGO BANK NATL ASSOC,SD,445310,21-Apr-97,1997,84,6,1.0,0,0,1,0,0,N,1-Oct-02,28-Feb-98,10000.0,0.0,CHGOFF,9161.0,10000.0,5000.0
104,1001024008,ROTHWELL LANDSCAPE,MANHATTAN,KS,66502,LANDMARK NATIONAL BANK,KS,0,28-Feb-97,1997,84,5,2.0,0,0,1,0,N,Y,,31-Mar-97,50000.0,0.0,P I F,0.0,50000.0,40000.0
105,1001025004,Spirit Aviation Services Ltd.,Kansas City,MO,64116,WELLS FARGO BANK NATL ASSOC,SD,0,28-Apr-97,1997,84,5,1.0,0,0,1,0,0,N,,30-Nov-97,20000.0,0.0,P I F,0.0,20000.0,10000.0
